2,2,2,2,8,8,10,10,8,8,8,8,8,8,10,10,8,8,8,8,2,2
2,2,2,2,8,8,10,10,8,8,8,8,8,8,10,10,8,8,8,8,2,2
2,2,2,2,8,8,2,2,8,8,8,8,8,5,2,2,8,8,2,2,2,2
8,8,2,2,8,8,2,2,8,8,8,6,8,8,2,2,8,8,2,2,2,2
8,8,2,2,8,8,10,10,8,8,9,9,8,8,10,10,8,8,2,2,8,8
8,8,2,2,8,8,10,10,8,8,9,9,8,5,10,10,8,8,8,8,8,8
8,8,8,8,8,8,2,2,8,8,8,8,8,8,2,2,8,8,8,8,8,8
8,8,8,8,8,8,2,2,8,8,8,8,8,6,2,2,8,8,8,8,8,8
8,8,8,8,8,8,2,2,8,8,8,8,8,8,2,2,8,8,8,8,8,8
8,8,2,2,8,8,10,10,8,8,9,9,8,5,10,10,8,8,8,8,8,8
8,8,2,2,8,8,10,10,8,8,9,9,8,8,10,10,8,8,2,2,8,8
8,8,2,2,8,8,2,2,8,8,8,6,8,8,2,2,8,8,2,2,2,2
2,2,2,2,8,8,2,2,8,8,8,8,8,5,2,2,8,8,2,2,2,2
2,2,2,2,8,8,10,10,8,8,8,8,8,8,10,10,8,8,8,8,2,2
2,2,2,2,8,8,10,10,8,8,8,8,8,8,10,10,8,8,8,8,2,2

